id,anchor,context
869,main lane,E01
870,main lane,G08
871,main linear,G03
872,main pulse laser,H01
873,main pulse laser,H05
874,maintain oxygen level,C10
875,make of high density polyethylene,H02
876,make of slabs,E04
877,make of slabs,E21
878,maleic anhydride grafted,C08
879,maleic anhydride grafted,C09
880,map display system,G09
881,mat forming,B28
882,mat sections,A01
883,mat sections,A63
884,mat sections,B07
885,mat sections,B27
886,material formation,A21
887,material formation,H01
888,material item,A41
889,material item,A47
890,material item,B41
891,material item,H04
892,materially less,C03
893,materially less,F22
894,materially less,F42
895,materially less,H01
896,mayenite,B22
897,mayenite,C01
898,mayenite,F27
899,mayenite,H01
900,measure by probe,G01
901,measure surface temperature,B22
902,measure surface temperature,D06
903,measure surface temperature,F23
904,measure surface temperature,G01
905,measure surface temperature,H01
906,medical product,C12
907,medical product,F16
908,medical product,F41
909,medical product,G06
910,melanocyte,A61
911,melanocyte,C12
912,melanocyte,C14
913,melodies,A46
914,melodies,G10
915,melt coating,B05
916,melt coating,B41
917,melt coating,D21
918,membrane vesicle,A61
919,mentioned conveyor,A21
920,mentioned conveyor,B22
921,metal phase,A62
922,metal phase,B01
923,metal phase,B22
924,metal phase,C10
925,metal phase,C22
926,metal phase,G21
927,metallic binder,C09
928,metallic binder,H01
929,metallic cartridges,F42
930,metastatic bone disease,A61
931,metatarsal bones,A41
932,metatarsal bones,A43
933,metatarsal bones,A61
934,methoxyethylamine,C07
935,microchambers,F16
936,microchambers,G01
937,microchambers,H01
938,modify before use,A61
939,moisture absorption rate,D06
940,moisture proof film,H05
941,monocrystalline semiconductor,B23
942,monocrystalline semiconductor,B81
943,monocrystalline semiconductor,G02
944,monocrystalline semiconductor,H01
945,monocrystalline semiconductor,H04
946,morpholin,A61
947,morpholin,C07
948,mount on cylinders,B41
949,mount on cylinders,D04
950,move to range,F15
951,move towards left,B28
952,move towards left,D05
953,movement directions,B23
954,movement directions,B60
955,multiplexed data,H01
956,multiplexed data,H03
957,multiplexed data,H04
958,nail strip,B21
959,nail strip,B28
960,nail strip,F16
961,negative collector,C23
962,network load information,H04
963,neural stimulation,A61
964,neural stimulation,H04
965,new freely flowering,A01
966,non lamellar,A61
967,non polar carrier,C09
968,noncollinear,B28
969,noncollinear,G01
970,noncollinear,G02
971,normal base,B41
972,notch base,H01
973,nozzle receptacle,B01
974,nozzle receptacle,B29
975,nvm array,G11
976,nvm array,H01
977,nvm array,H03
978,obstacle course,A63
979,obstacle course,B60
980,obstacle course,E04
981,obstacle course,G09
982,obtain from fractions,C07
983,offset table,G06
984,offset table,H04
985,oil tankers,B63
986,oil tankers,C12
987,oil tankers,E03
988,olefin production,B01
989,olefin production,C10
990,opaque walls,B29
991,opc drum,F16
992,opc drum,G02
993,opc drum,G03
994,opening assembly,B60
995,opening assembly,B65
996,opening assembly,E05
997,opening assembly,E06
998,operate by vacuum,B60
999,operate internal combustion engine,F01
1000,operate internal combustion engine,F02
1001,operating channel,A61
1002,operating channel,G07
1003,operating channel,H04
1004,operational height,B61
1005,operator identification information,H04
1006,opposing walls,A46
1007,opposing walls,A47
1008,opposing walls,B60
1009,opposing walls,F26
1010,optical glasses,C03
1011,optical glasses,G02
1012,optimal quantity,A01
1013,organic alkaline,C11
1014,organic starting,B61
1015,organic starting,C07
1016,organic starting,C25
1017,orthogonal acceleration,H01
1018,orthogonal acceleration,H05
1019,outer bar,A47
1020,outer bar,B66
1021,outer bar,E01
1022,outer bar,E05
1023,outer cylindrical electrode,F03
1024,output center,B62
1025,output center,D05
1026,oven batteries,C10
1027,overall condition,B62
1028,overall weight,B60
1029,overall weight,C01
1030,overall weight,C11
1031,overall weight,D06
1032,overflow compartment,B22
1033,overflow compartment,F16
1034,overflow device,A47
1035,overflow device,A61
1036,overflow device,E03
1037,overflow device,E04
1038,oxidizing enzyme,B27
1039,oxidizing enzyme,C09
1040,oxidizing enzyme,C11
1041,oxidizing enzyme,C12
1042,oxygen carrier,B01
1043,oxygen carrier,C06
1044,oxygen carrier,C14
1045,oxygen carrier,F23
1046,oxygen lean,C01
1047,oxygen lean,C10
1048,oxygen lean,F25
1049,oxygen value,F02
1050,package member,A45
1051,package member,A61
1052,package member,B65
1053,page file,G09
1054,page file,H04
1055,panel frame,A01
1056,panel frame,C02
1057,panel frame,C25
1058,panel frame,E05
1059,panel frame,E06
1060,panel frame,F16
1061,panel frame,F24
1062,panel frame,H04
1063,paraboloid,A61
1064,paraboloid,B61
1065,paraboloid,E21
1066,paraboloid,F21
1067,paraboloid,F24
1068,paraboloid,G01
1069,parallel force,F28
1070,parallel orientation,A01
1071,parallel orientation,B05
1072,parallel orientation,D04
1073,parallel orientation,G01
1074,parallel orientation,G03
1075,parallel orientation,G06
1076,partial elliptical,F21
1077,particular operational,G01
1078,particular operational,G06
1079,pen based computer,B65
1080,pen based computer,G06
1081,pen based computer,H04
1082,pendent,A43
1083,pendent,A61
1084,pendent,B21
1085,pendent,B27
1086,pendent,B29
1087,pendent,B62
1088,pendent,B65
1089,pendent,D01
1090,pendent,F04
1091,peptide precursor,C07
1092,perfluoroalkyl group,A62
1093,perfluoroalkyl group,A63
1094,perfluoroalkyl group,B23
1095,perfluoroalkyl group,C07
1096,perfluoroalkyl group,C09
1097,perfluoroalkyl group,C11
1098,perfluoroalkyl group,G03
1099,perform desired action,B23
1100,perform working operations,B21
1101,perform working operations,B23
1102,peripheral nervous system stimulation,A61
1103,personage,A47
1104,personage,A63
1105,photocleavable linker,C12
1106,photodefinable,B41
1107,photodefinable,H05
1108,physical transport medium,G06
1109,physical transport medium,H04
1110,pick element,A63
1111,pick element,E21
1112,pick element,G10
1113,pictorial image,A63
1114,pictorial image,G01
1115,pictorial image,G09
1116,pillaring,B01
1117,pillaring,F23
1118,pipe box,A01
1119,pipe box,C10
1120,pipe box,C21
1121,place to set,H04
1122,planar gear sets,F16
1123,plug nozzle,B01
1124,ply tire,B29
1125,ply tire,B60
1126,pneumatic logic,B23
1127,pneumatic logic,B27
1128,pneumatic logic,F15
1129,pneumatic logic,F28
1130,polls,B21
1131,polls,G01
1132,polls,G06
1133,polls,H04
1134,polyglycolic acid,C04
1135,polyglycolic acid,D01
1136,polymeric ester,C07
1137,polymeric ester,C08
1138,portable radio communication,H01
1139,portable radio communication,H04
1140,position enclosure,B65
1141,positioning sheet,A43
1142,post hole diggers,A01
1143,power conversion control,H02
1144,pre established parameters,A43
1145,pre trip,B60
1146,pre trip,F25
1147,pre trip,H01
1148,predetermined acceleration,B27
1149,predetermined acceleration,B66
1150,predetermined acceleration,F42
1151,predetermined acceleration,G01
1152,predetermined relatively,B61
1153,predetermined relatively,H01
1154,preliminary dispersion,G03
1155,preregistration,G03
1156,pressing state,G03
1157,pressure detection,A61
1158,pressure detection,B05
1159,pressure detection,D03
1160,pressure detection,E02
1161,pressure detection,F03
1162,pressure detection,F23
1163,pressure detection,G01
1164,pressure detection,H01
1165,pressure failure,F02
1166,pressure signal,A01
1167,pressure signal,B61
1168,pressure signal,B65
1169,pressure signal,B81
1170,pressure signal,F03
1171,pressure signal,F22
1172,pressure signal,F24
1173,pressure signal,G01
1174,pressure signal,G06
1175,presynaptic,A01
1176,presynaptic,H01
1177,prevent accidental separation,A44
1178,previous batch,D01
1179,previously captured image,G01
1180,previously captured image,H04
1181,produce by pump,B67
1182,produce by recombinant dna technology,C12
1183,produce liquid hydrocarbons,C01
1184,produce liquid hydrocarbons,C10
1185,produce thin layers,B05
1186,produce thin layers,G01
1187,project onto surface,B03
1188,project onto surface,B29
1189,project onto surface,C04
1190,project onto surface,D06
1191,project onto surface,G03
1192,project onto surface,G09
1193,projection method,B23
1194,projection method,G04
1195,prolog,G01
1196,prolog,G06
1197,prolog,H03
1198,prolong span,F16
1199,proper order,A63
1200,proper order,H04
1201,propyl bromide,C09
1202,propyl bromide,C10
1203,propyl bromide,C11
1204,propyl bromide,C23
1205,protocol component,A46
1206,protocol component,H04
1207,protograph,H03
1208,provide acknowledgement,H01
1209,provide by terminals,H04
1210,provide car,B61
1211,provide for tuning,H01
1212,provide in amounts,C04
1213,provide restoring force,E01
1214,provide restoring force,G11
1215,provider networks,H04
1216,psd functions,G06
1217,psd functions,G07
1218,pulping apparatus,B02
1219,pulping apparatus,D06
1220,pulping apparatus,D21
1221,pulse width modulated control,G02
1222,pulsed plasma,C10
1223,pulsed plasma,F03
1224,pulsed plasma,H05
1225,pulverulent material,B22
1226,pulverulent material,F23
1227,pulverulent material,G01
1228,punch face,B05
1229,punch face,B21
1230,pushing pin,B60
1231,pushing pin,F03
1232,radio wave transmission,B29
1233,radio wave transmission,G01
1234,radio wave transmission,H01
1235,radio wave transmission,H04
1236,rear adjustment,E05
1237,receive acceleration,G05
1238,receive via surface,B05
1239,receive via surface,H01
1240,receive via surface,H03
1241,receiver shaft,E21
1242,receiver shaft,F41
1243,receiver shaft,G05
1244,receiver shaft,H04
1245,recover from reaction product,C07
1246,recover from reaction product,C08
1247,reduction factor,C03
1248,reduction factor,G06
1249,reduction factor,H01
1250,reduction factor,H04
1251,reflect by reflection mirror,G01
1252,reflection type liquid crystal display,G02
1253,regeneration agent,B01
1254,regeneration agent,D06
1255,register digital converter,H03
1256,registration hole,B41
1257,relational formula,B61
1258,remain below threshold value,B60
1259,remaining legs,B61
1260,renewable power,A01
1261,renewable power,C10
1262,renewable power,F03
1263,renewable power,F16
1264,renewable power,F24
1265,renewable power,H02
1266,request buffer,F02
1267,request buffer,H04
1268,resilient metal,A01
1269,resilient metal,A43
1270,resilient metal,B65
1271,resilient metal,E01
1272,resilient metal,E06
1273,resilient metal,F25
1274,resilient spring clip,A61
1275,resilient spring clip,F21
1276,respective emitter,H03
1277,retainer bolts,B29
1278,retaining insert,A44
1279,retaining insert,B65
1280,retaining insert,F01
1281,retaining insert,H01
1282,retinal tissue,A61
1283,retinal tissue,C08
1284,retinal tissue,C12
1285,retorting process,C10
1286,return structure,B62
1287,return structure,D01
1288,return structure,F02
1289,return structure,F27
1290,rhodium carbonyl,B01
1291,rhodium carbonyl,C01
1292,rhodium carbonyl,C07
1293,rizatriptan,A61
1294,rizatriptan,C08
1295,rna seq,C12
1296,rna seq,G16
1297,rocker lever,B21
1298,rocker lever,B41
1299,rocker lever,B61
1300,rocker lever,E05
1301,roll on workpiece,B21
1302,roll on workpiece,B23
1303,rotary electric,B64
1304,rotary electric,F01
1305,rotary electric,F02
1306,rotary section,B21
1307,rotary section,B23
1308,rotary section,H01
1309,rotary section,H05
1310,rotatable chamber,A23
1311,rotatable chamber,B01
1312,rotatable chamber,B05
1313,rotatable chamber,G01
1314,rotate on its longitudinal axis,B24
1315,rotate on its longitudinal axis,E06
1316,rotation protrusion,A61
1317,rotation protrusion,F15
1318,rotation protrusion,F16
1319,rotor stages,F01
1320,rotor stages,F02
1321,rotor stages,F04
1322,run during interval,G04
1323,running tally,G08
1324,salina,A61
1325,sand formation,C09
1326,sand formation,E21
1327,saturated felt,D06
1328,saturated felt,F16
1329,saw sensor,F02
1330,saw sensor,G01
1331,saw sensor,G06
1332,saw sensor,H03
1333,sawtooth waves,G04
1334,sawtooth waves,G10
1335,sawtooth waves,H03
1336,scorch,A24
1337,scorch,A63
1338,scorch,C08
1339,scratch coating,A63
1340,seal members,B21
1341,seal members,E02
1342,seal members,G03
1343,seal teeth,F01
1344,seal teeth,F16
1345,seal teeth,G01
1346,sealable adhesive,B65
1347,search indices,G06
1348,sectional layer,B22
1349,sectional layer,F42
1350,sectional layer,G09
1351,secure to guard,A01
1352,seeded,A23
1353,seeded,A61
1354,seeded,C22
1355,seeded,H01
1356,select unit,F04
1357,select unit,H01
1358,select unit,H03
1359,select unit,H04
1360,selected box,B28
1361,selected operation,B64
1362,selected operation,H01
1363,selected operation,H03
1364,selected operation,H04
1365,selection logic,F01
1366,selection logic,G10
1367,selection logic,G11
1368,selection logic,H05
1369,selectively predetermined,D04
1370,selectively predetermined,G01
1371,self resonance frequency,H01
1372,send to control node,H04
1373,sensitive photographic,B41
1374,sensitive photographic,G03
1375,sensitive photographic,H01
1376,sequence conservation,C12
1377,service processing unit,H04
1378,shannon,D03
1379,shannon,F28
1380,shape like tail,A63
1381,shaped engaging,A41
1382,shaped engaging,E05
1383,shaped engaging,F16
1384,shaped substrates,B24
1385,shaped substrates,C09
1386,shaped substrates,H01
1387,sheet supply roller,B41
1388,sheet supply roller,B65
1389,sheet supply roller,H04
1390,shielded conductor,H01
1391,shift link,A47
1392,show in chemical formula,C07
1393,show in chemical formula,C09
1394,show in chemical formula,H01
1395,shunt reactor,G01
1396,shunt reactor,H01
1397,shunt reactor,H02
1398,signal generating compound,C07
1399,signal sender,H01
1400,silicide formation,B01
1401,siloxane based,A01
1402,siloxane based,A61
1403,siloxane based,C04
1404,siloxane based,C08
1405,siloxane based,D06
1406,similar absorbent,A47
1407,single pumping chamber,F04
1408,sleeve upper,A47
1409,slip segment,B22
1410,slip segment,E21
1411,slip segment,F16
1412,slip segment,H01
1413,slot open,A61
1414,slot open,C22
1415,smooth outer surface,A45
1416,smooth outer surface,B29
1417,smooth outer surface,B60
1418,smooth outer surface,B63
1419,smooth outer surface,B65
1420,smooth outer surface,C21
1421,smooth outer surface,H01
1422,soft polymeric,C07
1423,soft polymeric,H04
1424,solder member,H01
1425,source channel,A01
1426,source channel,A61
1427,source channel,B05
1428,source channel,H04
1429,source voltage,B60
1430,source voltage,G06
1431,source voltage,G11
1432,source voltage,H05
1433,speed control means,A01
1434,speed control means,D04
1435,speed control means,D06
1436,speed control means,E06
1437,speed control means,G05
1438,speed control means,H02
1439,speed impeller,B01
1440,sphygmomanometer,A61
1441,sphygmomanometer,G01
1442,sphygmomanometer,G05
1443,sphygmomanometer,G09
1444,split into flows,F16
1445,split into flows,H04
1446,spoke wheels,B60
1447,sprayed,A62
1448,sprayed,B21
1449,sprayed,B41
1450,sprayed,C09
1451,sprayed,C12
1452,sprayed,C21
1453,sprayed,E04
1454,sprayed,F16
1455,sprayed,F23
1456,spreader body,A01
1457,spreader body,B60
1458,spreader body,B66
1459,square lattice,F16
1460,square lattice,G21
1461,square lattice,H01
1462,square lattice,H03
1463,stability function,B60
1464,stabilizer members,A01
1465,stabilizer members,B60
1466,stabilizer members,E21
1467,stabilizer members,F16
1468,starch component,A23
1469,starch component,C09
1470,starch component,D01
1471,starch component,D06
1472,stationary rod,A41
1473,stationary rod,D01
1474,stationary rod,G01
1475,steering matrices,H04
1476,stepped pin,B25
1477,storage lid,A24
1478,storage lid,B01
1479,storage lid,B44
1480,storage lid,B60
1481,strand conveyor,B65
1482,substantially axial,A01
1483,substantially axial,B60
1484,substantially axial,C03
1485,substantially axial,F01
1486,substantially axial,F16
1487,substituted carboxylic,C07
1488,substituted carboxylic,C08
1489,substituted carboxylic,C10
1490,substituted carboxylic,D06
1491,sulfide sulfur,C01
1492,summits,B23
1493,summits,B65
1494,summits,F24
1495,sun member,F04
1496,sun member,F16
1497,superior abrasion,D03
1498,support grooves,B22
1499,surface altering agent,C01
1500,surface altering agent,C04
1501,surgical gloves,A23
1502,surgical gloves,B25
1503,surgical gloves,C04
1504,surgical gloves,C07
1505,surgical gloves,C08
1506,surgical gloves,C10
1507,surgical gloves,H01
1508,sustained delivery,A61
1509,sustained delivery,C12
1510,switch swm,G02
1511,synthetic training,G06
1512,tap portion,A61
1513,tap portion,B23
1514,tap portion,H01
1515,target pointer,F41
1516,target pointer,G06
1517,terephthalate polyester,B29
1518,terephthalate polyester,C08
1519,terephthalate polyester,C09
1520,terephthalate polyester,D06
1521,terephthalate polyester,H01
1522,tetracene,C07
1523,tetracene,C09
1524,tetracene,C12
1525,therapeutic applications,C12
1526,therapeutic applications,G21
1527,therapeutic immune,C07
1528,time digital signal,H03
1529,time domain equalization,H03
1530,toolpaths,B22
1531,toolpaths,B29
1532,toolpaths,D03
1533,toolpaths,G05
1534,tooth spaces,F04
1535,tooth spaces,F16
1536,tooth spaces,G01
1537,tooth spaces,G04
1538,top surface member,H01
1539,track temperature,E02
1540,track temperature,G05
1541,transfer onto substrate,B05
1542,transfer onto substrate,B41
1543,transfer onto substrate,G03
1544,transfer onto substrate,G11
1545,transistor m6,G05
1546,transition member,E04
1547,transition member,F02
1548,transition member,G21
1549,transmit alarm,G06
1550,transmit alarm,G08
1551,transmit over interface,G11
1552,transmit over interface,H04
1553,transmit to platform,B66
1554,transmit to platform,H04
1555,transparent liquid crystal display,G09
1556,transport from layer,B29
1557,transport from layer,D04
1558,travele in direction,A01
1559,travele in direction,B23
1560,travele in direction,B61
1561,travele in direction,F04
1562,travele in direction,F42
1563,travele in direction,G01
1564,travele in direction,G08
1565,treatment programs,F22
1566,triethylammonium salt,C07
1567,triethylammonium salt,C12
1568,trommel screen,B02
1569,trommel screen,B03
1570,trommel screen,B07
1571,tsr,C01
1572,tsr,C04
1573,tubular billet,B21
1574,tubular latch,E05
1575,tunneling capacitor,G11
1576,turbine machine,B64
1577,turbine machine,F01
1578,turbine machine,F03
1579,type parameter,G06
1580,type parameter,H04
1581,undulation,B31
1582,undulation,B65
1583,undulation,H03
1584,unit inlet,B01
1585,unit inlet,E01
1586,unit inlet,F16
1587,update test cases,G06
1588,upper clamp arm,A01
1589,upper clamp arm,A61
1590,upper clamp arm,F16
1591,upper series,B41
1592,upper series,B66
1593,use as cooling fluid,F24
1594,use balance,A63
1595,use in positioning,G01
1596,use physically unclonable functions,H04
1597,use solid materials,B22
1598,use solid materials,B29
1599,use solid materials,G03
1600,use voltage converter,F02
1601,useful metal,C07
1602,useful metal,C22
1603,vacuum cups,B67
1604,vacuum cups,E01
1605,vacuum cups,E04
1606,val ile,C07
1607,vco circuit,H03
1608,vegfr2,A61
1609,vegfr2,C07
1610,vegfr2,C12
1611,verifiable,G01
1612,verifiable,G09
1613,verifiable,H04
1614,vertical chute,B65
1615,vertical chute,C21
1616,vertical chute,D01
1617,vertical chute,G07
1618,vertical comb,B81
1619,vibratory actuator,A61
1620,vibratory actuator,E02
1621,vibratory actuator,H02
1622,vibratory actuator,H04
1623,video light,G03
1624,video lines,G09
1625,video lines,H04
1626,voltage patterns,G06
1627,voltage values,B01
1628,voltage values,B41
1629,voltage values,H02
1630,wafer inspection system,G01
1631,wake up procedures,G06
1632,walking aids,A45
1633,walking aids,B62
1634,walnut oil,A61
1635,walnut oil,C08
1636,water infiltration,B01
1637,water infiltration,E06
1638,water infiltration,H01
1639,water intake,A01
1640,water intake,A47
1641,water intake,B63
1642,water intake,B67
1643,water intake,F03
1644,water intake,F16
1645,water intake,F22
1646,water intake,F24
1647,water intake,G01
1648,water product,B65
1649,water product,C10
1650,water product,C25
1651,water product,F04
1652,water product,H01
1653,water propeller,B01
1654,water propeller,B63
1655,water propeller,B64
1656,water propulsion device,B63
1657,water propulsion device,F01
1658,wave generation,A63
1659,wave generation,E04
1660,wave generation,F21
1661,wave generation,F42
1662,wave generation,H01
1663,wave generation,H03
1664,wearability,A61
1665,wearability,B21
1666,web transfer,B29
1667,web transfer,B31
1668,web transfer,B41
1669,web transfer,D21
1670,wedge device,E01
1671,wedge device,F16
1672,wedge device,G02
1673,wedge device,H01
1674,weldability,B65
1675,weldability,C08
1676,weldability,C22
1677,weldability,C23
1678,weldability,C25
1679,weldability,G01
1680,weldability,H01
1681,well pump,B24
1682,well pump,D01
1683,well pump,E03
1684,well pump,E21
1685,well pump,F03
1686,well pump,F04
1687,well pump,H01
1688,whose identity,G06
1689,wire grid polarization,B29
1690,wire grid polarization,G01
1691,wire grid polarization,G02
1692,wire grid polarization,H01
1693,wire grid polarization,H04
1694,wiring trough,F16
1695,wiring trough,H02
1696,wood article,B05
1697,wood article,B27
1698,wood article,B44
